# {"t_start": 1586826608.8409224, "env_id": "HalfCheetah-v2"} 
r,l,t
-291.368157,1000,14.951842
-252.620114,1000,17.130757
-276.014248,1000,40.008062
-271.698783,1000,42.192025
-368.247012,1000,49.097485
-204.584736,1000,51.297897
-258.913015,1000,58.177915
-478.265186,1000,60.353957
-331.896265,1000,67.279459
-317.35886,1000,69.464047
-326.986087,1000,76.320137
-348.355932,1000,78.496569
-379.122026,1000,85.445655
-348.648511,1000,87.633773
-298.119568,1000,94.496611
-290.773607,1000,96.689534
-380.912541,1000,103.542072
-378.566797,1000,105.724367
-394.131717,1000,112.660196
-255.439568,1000,114.846861
-318.815276,1000,121.690383
-290.748014,1000,123.87301
-287.622678,1000,130.776564
-269.689077,1000,132.958892
-253.055911,1000,139.818294
-311.82798,1000,142.02198
-282.894149,1000,148.896709
-88.125414,1000,151.09372
-256.137171,1000,157.999238
-270.273002,1000,160.170191
-308.374097,1000,166.988766
-334.890968,1000,169.160841
-269.764742,1000,176.049943
-281.937414,1000,178.23803
-229.589359,1000,185.114186
-164.064946,1000,187.315133
-356.253193,1000,194.176902
-281.341017,1000,196.363601
-390.490657,1000,203.302563
-186.257894,1000,205.477904
-150.933534,1000,212.336683
-245.609383,1000,214.536522
-391.897572,1000,216.737718
-218.754947,1000,223.611277
-213.933583,1000,225.79135
-313.871217,1000,232.712204
-360.221573,1000,234.889251
-283.694924,1000,241.743812
-253.991584,1000,243.907697
-220.577848,1000,250.861362
-200.096269,1000,253.051067
-214.075389,1000,259.931037
-214.579788,1000,262.120291
-228.122908,1000,268.960845
-317.741134,1000,271.1342
-81.86957,1000,278.04055
-196.592588,1000,280.223176
-196.993221,1000,287.08841
-227.627062,1000,289.277587
-167.103135,1000,296.173048
-262.921494,1000,298.347718
-264.307386,1000,305.175664
-189.452657,1000,307.379759
-140.601437,1000,314.228616
-112.658032,1000,316.400416
-123.326418,1000,323.317571
-292.882958,1000,325.488737
-124.100323,1000,332.340255
-95.299472,1000,334.528736
-131.96808,1000,341.427357
-96.798115,1000,343.613609
-127.466347,1000,350.465268
-105.65992,1000,352.668431
-114.442341,1000,359.519712
-213.995031,1000,361.706969
-86.643525,1000,368.620753
-150.366437,1000,370.80574
-86.827298,1000,377.648562
-173.443849,1000,379.833122
-101.150027,1000,386.699918
-35.862168,1000,388.88415
-142.611461,1000,395.760541
-118.660629,1000,397.942101
-113.327736,1000,404.806139
-20.364283,1000,406.992254
-73.388349,1000,409.172859
-80.670034,1000,416.062074
-102.59668,1000,418.239153
-156.39052,1000,425.045407
26.860502,1000,427.247004
-48.492814,1000,434.215594
-36.753153,1000,436.410317
-118.055301,1000,443.430818
-58.890824,1000,445.609011
-15.413163,1000,452.412827
-18.06373,1000,454.588735
-44.415224,1000,461.497903
-51.107758,1000,463.677744
-43.33329,1000,470.532694
-31.007773,1000,472.723382
-33.342484,1000,479.58584
-51.59752,1000,481.760732
-19.314474,1000,488.67251
-7.815899,1000,490.851971
9.987471,1000,497.647704
-18.114642,1000,499.829487
-93.974055,1000,506.728223
-170.770208,1000,508.917105
-34.58878,1000,515.814731
54.140472,1000,518.019147
-75.690657,1000,524.900885
105.719138,1000,527.08249
105.869416,1000,534.003941
58.929361,1000,536.187467
23.625254,1000,543.044027
18.280649,1000,545.222463
27.905388,1000,552.074979
-270.440477,1000,554.303098
53.288141,1000,561.220214
67.30858,1000,563.403094
108.930958,1000,570.297577
-6.162054,1000,572.493317
59.964967,1000,579.474137
162.298459,1000,581.666218
-19.800323,1000,588.71707
132.699542,1000,590.907636
81.177234,1000,597.723011
98.287415,1000,599.909356
202.2025,1000,602.094423
132.639952,1000,609.157975
165.411437,1000,611.332816
155.360402,1000,618.18215
60.119305,1000,620.358548
158.825439,1000,627.253317
112.283774,1000,629.430624
41.749387,1000,636.315636
151.422393,1000,638.496712
106.093634,1000,645.496122
159.59464,1000,647.691223
270.264261,1000,654.728761
256.825787,1000,656.907471
241.261052,1000,663.770939
213.96509,1000,665.959431
171.44681,1000,672.800786
209.028484,1000,674.991238
325.030265,1000,681.849701
256.907388,1000,684.02612
322.745455,1000,690.852077
367.482978,1000,693.034843
379.498791,1000,699.986161
309.993998,1000,702.166289
347.212952,1000,709.013744
207.261101,1000,711.211696
308.093614,1000,718.062643
332.799201,1000,720.244707
468.506421,1000,727.171303
372.019195,1000,729.348879
383.909472,1000,736.209404
330.199782,1000,738.386155
386.292701,1000,745.326283
421.51067,1000,747.504403
290.492426,1000,754.370947
375.9548,1000,756.571626
416.818719,1000,763.436302
437.790461,1000,765.612378
504.734778,1000,772.491241
476.923568,1000,774.665037
475.004833,1000,781.516622
404.502844,1000,783.69636
409.712344,1000,790.600688
-286.919943,1000,792.800468
548.762555,1000,794.981662
494.020618,1000,801.886403
516.00036,1000,804.061175
463.762162,1000,810.915076
554.119781,1000,813.090728
592.493203,1000,820.003769
553.234828,1000,822.18267
540.392446,1000,829.041304
538.164541,1000,831.232956
493.016692,1000,838.098484
527.250502,1000,840.281897
500.315723,1000,847.197504
520.737827,1000,849.377442
620.443894,1000,856.222394
605.709933,1000,858.402641
617.819652,1000,865.330495
680.319421,1000,867.508441
575.403739,1000,874.369339
583.26989,1000,876.564811
655.08959,1000,883.425054
634.137042,1000,885.601326
635.995628,1000,892.526864
590.231067,1000,894.703305
643.319392,1000,901.51721
722.259796,1000,903.694257
646.061846,1000,910.61573
720.61703,1000,912.81085
710.340389,1000,919.67244
605.788149,1000,921.868816
661.245652,1000,929.005175
576.526982,1000,931.18779
633.571764,1000,938.137591
474.393676,1000,940.313961
638.796565,1000,947.220639
674.978241,1000,949.403313
697.258631,1000,956.277636
338.221559,1000,958.447228
172.285526,1000,965.390013
630.082719,1000,967.58686
694.601333,1000,974.568504
666.876832,1000,976.754871
670.833047,1000,983.69544
659.871563,1000,985.889116
613.977565,1000,988.071472
703.078392,1000,994.96745
693.72921,1000,997.157772
629.933653,1000,1004.015842
606.326537,1000,1006.204501
619.049314,1000,1013.17767
583.035825,1000,1015.353307
661.514609,1000,1022.247492
683.126574,1000,1024.422795
683.482561,1000,1031.384524
40.832965,1000,1033.572469
767.888515,1000,1040.49938
707.219917,1000,1042.694758
671.59449,1000,1049.599861
664.313603,1000,1051.783463
799.954356,1000,1058.711998
809.207207,1000,1060.899394
733.871315,1000,1067.802325
681.084644,1000,1069.98109
688.456201,1000,1076.928937
681.784414,1000,1079.111146
731.948952,1000,1086.033586
683.608977,1000,1088.214629
730.235661,1000,1095.118997
787.061799,1000,1097.282465
769.993804,1000,1104.249632
692.942531,1000,1106.432642
701.532291,1000,1113.335262
774.106217,1000,1115.52296
783.406657,1000,1122.437613
787.018959,1000,1124.620001
673.783361,1000,1131.556644
774.899004,1000,1133.740554
786.688951,1000,1140.646653
761.825155,1000,1142.824632
764.340407,1000,1149.778192
792.946495,1000,1151.962391
819.299462,1000,1158.857508
-417.33443,1000,1161.050475
808.218664,1000,1167.966704
815.383033,1000,1170.159312
822.131169,1000,1172.344809
857.542242,1000,1179.310766
834.368734,1000,1181.496192
835.715808,1000,1188.400779
810.913572,1000,1190.589217
793.45135,1000,1197.531146
831.921145,1000,1199.705822
852.555356,1000,1206.570471
690.387137,1000,1208.752711
841.709605,1000,1215.660116
710.046668,1000,1217.832381
801.079792,1000,1224.782333
873.247447,1000,1226.97107
876.315864,1000,1233.881756
874.590412,1000,1236.067712
775.348446,1000,1243.012719
892.090813,1000,1245.204292
730.063654,1000,1252.096501
843.014572,1000,1254.283497
879.070736,1000,1261.183566
858.905677,1000,1263.361713
798.700891,1000,1270.588341
838.259725,1000,1272.775605
904.276683,1000,1279.896522
817.457392,1000,1282.085896
899.939949,1000,1289.207435
1000.117656,1000,1291.382149
963.585093,1000,1298.579605
949.806948,1000,1300.760477
939.819304,1000,1307.888205
897.7689,1000,1310.078487
931.878652,1000,1317.234917
996.161574,1000,1319.418188
898.850617,1000,1326.637788
980.826032,1000,1328.828736
873.934961,1000,1335.955078
927.522819,1000,1338.140171
988.755532,1000,1345.337969
936.97747,1000,1347.529661
968.934739,1000,1354.67113
979.497466,1000,1356.860107
853.186529,1000,1363.984657
984.023244,1000,1366.178136
918.008222,1000,1368.353156
945.356868,1000,1375.567604
964.997296,1000,1377.746216
944.715805,1000,1384.861541
990.407314,1000,1387.064724
938.696648,1000,1394.231149
1009.215038,1000,1396.426795
994.265602,1000,1403.652688
999.840966,1000,1405.840962
981.205849,1000,1412.973177
984.853387,1000,1415.175558
817.0084,1000,1422.351981
953.73669,1000,1424.537158
1016.433837,1000,1431.715296
1049.754011,1000,1433.894795
944.182721,1000,1441.020809
1018.788846,1000,1443.209615
882.580059,1000,1450.431624
1035.541735,1000,1452.613308
940.650621,1000,1459.73981
998.963676,1000,1461.94577
926.375698,1000,1469.032446
892.503473,1000,1471.21486
1029.927703,1000,1478.421916
961.281205,1000,1480.606815
921.620484,1000,1487.728912
957.626458,1000,1489.916613
996.644113,1000,1497.060298
1035.9122,1000,1499.240452
936.464361,1000,1506.467003
1034.788983,1000,1508.658845
1027.169428,1000,1515.779164
942.597942,1000,1517.956892
1003.402026,1000,1525.168702
946.064823,1000,1527.364223
1041.507542,1000,1534.4736
931.549045,1000,1536.665088
928.667871,1000,1543.782915
1010.221475,1000,1545.957953
1000.393223,1000,1553.18291
1022.946543,1000,1555.357783
1024.644076,1000,1562.465888
1051.746541,1000,1564.66697
1005.464932,1000,1566.868472
1116.018525,1000,1573.983335
1033.645921,1000,1576.168804
1038.959807,1000,1583.380471
1019.812396,1000,1585.561804
1042.680359,1000,1592.650202
966.689607,1000,1594.838738
1053.91856,1000,1602.026738
1130.245996,1000,1604.212476
1113.068929,1000,1611.375807
1041.847089,1000,1613.55185
1019.01996,1000,1620.67296
1119.715365,1000,1622.858118
986.013359,1000,1630.079856
1014.538713,1000,1632.262314
1139.839059,1000,1639.354962
1007.559899,1000,1641.543558
1005.829696,1000,1648.680263
1106.958455,1000,1650.867502
1019.899111,1000,1658.082165
1173.612199,1000,1660.269589
1118.899889,1000,1667.346646
1116.858251,1000,1669.530906
855.938625,1000,1676.653607
1121.657087,1000,1678.846994
983.984916,1000,1685.980287
988.46873,1000,1688.191351
1097.898153,1000,1695.323518
857.223169,1000,1697.51119
1217.458979,1000,1704.708408
972.792243,1000,1706.892192
1035.481279,1000,1714.004046
1036.419566,1000,1716.191459
1167.917659,1000,1723.264156
1036.982909,1000,1725.443612
1105.73789,1000,1732.678568
1040.195048,1000,1734.870343
1087.25969,1000,1741.994939
1218.913826,1000,1744.181802
1064.875283,1000,1751.309388
944.549832,1000,1753.501566
1002.575121,1000,1760.668301
1187.539984,1000,1762.867619
1119.226912,1000,1765.046305
1146.754658,1000,1772.12778
1091.697972,1000,1774.304847
1092.432064,1000,1781.503242
1143.812203,1000,1783.687973
1131.886727,1000,1790.808011
1086.278787,1000,1792.990471
924.091786,1000,1800.103104
1120.437511,1000,1802.286852
1140.568046,1000,1809.52192
1161.412247,1000,1811.707011
1158.658065,1000,1818.868954
1164.647915,1000,1821.068624
1185.648928,1000,1828.239727
1114.609115,1000,1830.414647
1157.52575,1000,1837.707126
1138.237586,1000,1839.893226
1104.857977,1000,1847.217084
1086.018108,1000,1849.478664
1155.695163,1000,1857.058281
1225.671774,1000,1859.332665
1092.980704,1000,1866.953958
1163.973009,1000,1869.220764
1129.07714,1000,1876.772673
1223.303116,1000,1878.950683
1134.764224,1000,1886.106518
1110.252232,1000,1888.289922
1066.299279,1000,1895.421653
1216.38091,1000,1897.618411
1124.054235,1000,1904.728945
1308.250118,1000,1906.915305
1198.601878,1000,1914.11344
1226.197254,1000,1916.299022
1090.872481,1000,1923.44162
1126.072075,1000,1925.628243
1102.882322,1000,1932.970029
1160.969934,1000,1935.153381
1186.333777,1000,1942.35857
1248.555881,1000,1944.531382
1198.849258,1000,1951.651068
1147.044655,1000,1953.827442
1177.496076,1000,1960.990446
1179.689606,1000,1963.187483
1226.508308,1000,1965.373983
1250.012945,1000,1972.560453
1247.017775,1000,1974.733275
1240.116729,1000,1981.870841
1130.214348,1000,1984.058358
1183.083975,1000,1991.276415
1067.671035,1000,1993.452566
1196.970266,1000,2000.584719
1235.897267,1000,2002.769286
1125.337786,1000,2009.886298
1217.933748,1000,2012.05887
1175.185077,1000,2019.236275
1206.672364,1000,2021.419912
1112.795969,1000,2028.488894
1195.069641,1000,2030.659174
1103.055763,1000,2037.70213
1212.738878,1000,2039.880405
1169.560364,1000,2046.945295
1270.870098,1000,2049.117533
1168.275614,1000,2056.12934
1212.812428,1000,2058.307146
1236.542493,1000,2065.371618
1224.485447,1000,2067.549704
1165.514315,1000,2074.55232
1184.953567,1000,2076.749396
1205.340689,1000,2083.754509
1253.605727,1000,2085.929756
1125.512565,1000,2093.035309
1152.019829,1000,2095.213979
1168.382656,1000,2102.22
1170.06844,1000,2104.387474
1145.472954,1000,2111.314558
1199.883369,1000,2113.475425
1181.954562,1000,2120.430589
1175.277019,1000,2122.608614
1146.031725,1000,2129.505908
1228.538723,1000,2131.678794
1158.700392,1000,2138.673997
1257.477942,1000,2140.844879
1155.925035,1000,2147.741589
1266.254161,1000,2149.914589
1254.053568,1000,2156.810387
1159.660756,1000,2158.972644
1221.630947,1000,2161.133219
1174.148688,1000,2168.122868
1250.28239,1000,2170.275832
1238.937948,1000,2177.177516
1233.858146,1000,2179.33286
1285.099215,1000,2186.314914
1191.882353,1000,2188.475597
1279.822922,1000,2195.376234
1198.32397,1000,2197.533115
