eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/policy_loss_o,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,-271.99413549999997,79,0.00802098,0.115234375,8.505674,-0.017844185,-0.07279785,0.29349598,-0.2878834009170532,1,2048,25.64246019399434,2048
1000.0,-272.9253255,222,0.015185885,0.2211914,8.5525875,-0.020564724,-0.014092898,0.073602274,-0.6847978830337524,2,4096,34.83548365099705,4096
1000.0,-277.422175,222,0.013330588,0.2008789,8.530632,-0.018880863,0.10969851,0.05620531,-0.00563204288482666,3,6144,44.03077141099493,6144
1000.0,-300.21390637499997,222,0.018189479,0.2411621,8.48946,-0.019668888,0.06601971,0.059188206,0.1865256428718567,4,8192,53.218606928989175,8192
1000.0,-305.09663759999995,223,0.015464375,0.21347657,8.465536,-0.0112862885,-0.013742447,0.036877938,-0.005247235298156738,5,10240,62.37924156698864,10240
1000.0,-310.5256995833333,222,0.016623367,0.21738282,8.457476,-0.015347132,-0.001551877,0.04826745,0.07479280233383179,6,12288,71.60161576999235,12288
1000.0,-318.1484951428571,223,0.014924261,0.21357422,8.466392,-0.017498784,0.026136776,0.02887412,0.15641629695892334,7,14336,80.76443787199969,14336
1000.0,-315.1857566875,223,0.022320747,0.30219728,8.483668,-0.017265204,2.1717593e-05,0.025531396,0.009932279586791992,8,16384,89.9172632379923,16384
1000.0,-322.3584136111111,222,0.01721521,0.23330078,8.440998,-0.011775209,0.013964528,0.04991353,0.22543108463287354,9,18432,99.13820358499652,18432
1000.0,-322.6011365,224,0.02061705,0.24379882,8.439055,-0.009514588,-0.023060936,0.021096785,0.2711578607559204,10,20480,108.27643875699141,20480
1000.0,-320.9811827272727,222,0.020392278,0.27270508,8.452172,-0.016655596,0.018115008,0.032821435,0.49924737215042114,11,22528,117.4697706559964,22528
1000.0,-317.4540739583333,224,0.01603585,0.21601562,8.396515,-0.012368008,-0.012738859,0.027640235,0.5376786291599274,12,24576,126.60831868299283,24576
1000.0,-314.7608333076923,222,0.017209189,0.22583008,8.361027,-0.0153210815,-0.011028755,0.021900572,0.4881383180618286,13,26624,135.794082065986,26624
1000.0,-305.5286153214286,222,0.019517107,0.25742188,8.3476,-0.020346321,-0.03762595,0.054327846,0.40191906690597534,14,28672,145.0088781039958,28672
1000.0,-302.70704673333336,225,0.017166758,0.24365234,8.395629,-0.019072024,-0.014975568,0.046699386,0.4477437734603882,15,30720,154.1038314569887,30720
1000.0,-303.88988959375,223,0.017376512,0.2241211,8.335768,-0.022688221,0.024089608,0.029858088,0.3537200689315796,16,32768,163.26244009198854,32768
1000.0,-302.2405477352941,223,0.01833104,0.25161132,8.301663,-0.020769361,0.024464983,0.027079165,0.33755648136138916,17,34816,172.4319731239957,34816
1000.0,-296.384248,223,0.020622086,0.26088867,8.310869,-0.019943614,0.040929183,0.04042499,0.5952872335910797,18,36864,181.59839780599577,36864
1000.0,-297.5638720526316,221,0.022542741,0.28847656,8.260161,-0.0151093155,-0.037946478,0.047561422,0.3286019563674927,19,38912,190.8300932909915,38912
1000.0,-297.10439222499997,223,0.020536657,0.2783203,8.235443,-0.018439893,0.023871403,0.035149533,0.6056000888347626,20,40960,199.97475362499245,40960
1000.0,-294.7120041395349,222,0.018572846,0.2652832,8.220247,-0.017466871,-0.014927785,0.04005976,0.011782228946685791,21,43008,209.1696505,43008
1000.0,-291.2289935111111,223,0.017728137,0.2506836,8.185882,-0.016967367,0.03166069,0.027517652,0.15602773427963257,22,45056,218.35033794899937,45056
1000.0,-293.1786701702128,223,0.018308815,0.25102538,8.163416,-0.022121213,-0.020053694,0.035171673,0.1885426640510559,23,47104,227.5109060449904,47104
1000.0,-292.185387877551,222,0.017536605,0.24287109,8.185411,-0.019927558,0.00329293,0.0336081,0.250357449054718,24,49152,236.72560126899043,49152
1000.0,-288.9756494705883,223,0.017042436,0.23964843,8.115541,-0.018946512,-0.026510462,0.019089878,0.23333102464675903,25,51200,245.90290171699598,51200
1000.0,-286.158741509434,223,0.019456202,0.2550293,8.088484,-0.02012626,0.0041837767,0.021081481,0.41014009714126587,26,53248,255.0472640999942,53248
1000.0,-285.67776985454543,223,0.019554347,0.27119142,8.126036,-0.013175698,0.009286923,0.033731695,0.4519859552383423,27,55296,264.2300116279948,55296
1000.0,-280.5392894736842,224,0.017073154,0.2352539,8.089261,-0.021318596,0.014789907,0.033573125,0.30389124155044556,28,57344,273.37338188599097,57344
1000.0,-278.226437,222,0.01932175,0.26503906,8.051321,-0.024793211,-0.008882459,0.02941067,0.32637256383895874,29,59392,282.5645558989927,59392
1000.0,-276.15384281967215,224,0.01793647,0.2583496,8.069185,-0.02522003,-0.026532535,0.050307345,0.310291588306427,30,61440,291.6711167579924,61440
1000.0,-274.5895945238095,223,0.019390905,0.27089843,8.015818,-0.024128545,0.032414623,0.03912687,0.47353595495224,31,63488,300.8308459719992,63488
1000.0,-270.03698344615384,222,0.018027272,0.24082032,7.981406,-0.019938404,-0.009054777,0.021381501,0.0862494707107544,32,65536,310.0251899839932,65536
1000.0,-268.1882582089552,224,0.021120835,0.28828126,8.051576,-0.014520268,-0.03578574,0.043281354,0.2219475507736206,33,67584,319.14937930299493,67584
1000.0,-263.5943926811593,222,0.021329839,0.27402344,7.9634476,-0.021545468,-0.0005618973,0.03212515,0.21077853441238403,34,69632,328.34201315199607,69632
1000.0,-259.3912576056337,224,0.019894887,0.2668457,7.9468246,-0.020573802,0.033867422,0.02335666,0.30968576669692993,35,71680,337.4858327059919,71680
1000.0,-255.47815831506847,223,0.019609647,0.26782227,7.9369764,-0.02375489,0.012424232,0.02892087,0.3422589898109436,36,73728,346.6446136359882,73728
1000.0,-253.04457238666666,222,0.015804008,0.22958985,7.9961305,-0.019670742,-0.0014141414,0.031290673,0.4158543348312378,37,75776,355.851179639998,75776
1000.0,-249.55003754545453,224,0.016303256,0.2359375,7.934945,-0.019301435,0.0067543364,0.02764742,0.16940820217132568,38,77824,364.9841686209984,77824
1000.0,-246.526886556962,223,0.01777884,0.24038085,7.915351,-0.020048467,-0.013798945,0.032314856,0.4616762399673462,39,79872,374.14031023198913,79872
1000.0,-242.13131151851854,223,0.01955262,0.24892578,7.841001,-0.025022095,0.009910355,0.029778201,0.34139740467071533,40,81920,383.3053964809951,81920
1000.0,-239.4446785903615,223,0.015946506,0.21923828,7.821125,-0.018914629,-0.00025475989,0.025150428,0.19754105806350708,41,83968,392.4626553220005,83968
1000.0,-233.49986850000002,223,0.01676397,0.24477538,7.8199196,-0.023605023,0.0076995296,0.020408714,0.10704576969146729,42,86016,401.6319179179991,86016
1000.0,-230.27562960227277,225,0.017096639,0.2378418,7.8180475,-0.023862952,-0.0066980817,0.023822127,0.4033738374710083,43,88064,410.72938532599073,88064
1000.0,-226.59761581111115,221,0.018071547,0.24077149,7.8297844,-0.021174284,-0.00430131,0.028696287,0.5830080807209015,44,90112,419.9962973299989,90112
1000.0,-222.59816728260878,219,0.018407954,0.24785157,7.839588,-0.0225087,-0.0046257945,0.03128259,0.3230963349342346,45,92160,429.31552801998623,92160
1000.0,-219.74444164893623,225,0.02261622,0.30693358,7.868304,-0.020502793,-0.012142651,0.025820887,0.29235655069351196,46,94208,438.40646405899315,94208
1000.0,-215.51515008333334,222,0.020446422,0.2667969,7.804863,-0.023556141,0.004702923,0.019040797,0.21796107292175293,47,96256,447.5940779349912,96256
1000.0,-212.09160602040816,224,0.021763733,0.27734375,7.747561,-0.024711678,-0.002483522,0.022523424,0.30306804180145264,48,98304,456.7305886039976,98304
1000.0,-208.59318453,223,0.019716624,0.25581056,7.723504,-0.018665377,-0.0066843657,0.017395299,0.1888304352760315,49,100352,465.89665534299274,100352
1000.0,-204.00270185999997,222,0.02079184,0.26240236,7.7084274,-0.01829378,-0.00015802546,0.01834405,0.256325900554657,50,102400,475.08934651099844,102400
1000.0,-198.79687528,225,0.021390775,0.28188476,7.769007,-0.018705042,-0.0043932265,0.01846334,0.28411948680877686,51,104448,484.1724252189888,104448
1000.0,-193.14982951,223,0.019896505,0.26796874,7.6635895,-0.020767048,-0.021863839,0.022928637,0.28029143810272217,52,106496,493.3518025849917,106496
1000.0,-188.42549013,223,0.017607598,0.25288087,7.661704,-0.023682494,-0.024429822,0.023399215,0.6224308609962463,53,108544,502.5342184899928,108544
1000.0,-181.73742196,222,0.019166766,0.25976562,7.557849,-0.022666933,-0.0020988341,0.02900755,0.3549320697784424,54,110592,511.7284883159882,110592
1000.0,-174.68371695999994,222,0.020282853,0.27026367,7.485111,-0.030870121,0.039465517,0.016915426,0.3689531087875366,55,112640,520.938060097993,112640
1000.0,-165.75802381999998,223,0.020274479,0.26845703,7.4782753,-0.027218562,-0.0051756995,0.022710243,0.3991536498069763,56,114688,530.0875373679883,114688
1000.0,-159.45003304,224,0.020977542,0.2566406,7.484954,-0.021276055,-0.003020693,0.019266414,0.14434051513671875,57,116736,539.1933905529877,116736
1000.0,-154.28059055000003,220,0.020155098,0.27236328,7.5034347,-0.016071338,-0.04747381,0.028632846,0.6131065785884857,58,118784,548.4623150549887,118784
1000.0,-146.57891049000003,222,0.025838632,0.31928712,7.5092163,-0.02347732,0.0051943813,0.021823052,0.2656312584877014,59,120832,557.6483418789867,120832
1000.0,-139.45558855,220,0.022482254,0.28876954,7.4506235,-0.026173677,0.02026037,0.020231554,0.32514506578445435,60,122880,566.9295411719941,122880
1000.0,-131.65983674,219,0.017281594,0.24716797,7.488672,-0.022841213,0.007981719,0.031358212,0.4984546899795532,61,124928,576.281117031991,124928
1000.0,-124.88200563999999,224,0.017750153,0.2456543,7.411357,-0.023587639,0.00804668,0.01975026,0.28470033407211304,62,126976,585.398928042996,126976
1000.0,-114.79376681,221,0.01770577,0.24091797,7.332199,-0.015636412,-0.0012468782,0.022163665,0.3230288028717041,63,129024,594.6397632839944,129024
1000.0,-106.02678193,221,0.020093963,0.26689452,7.3026443,-0.026654352,0.001948999,0.02758821,0.38163548707962036,64,131072,603.8841176149872,131072
1000.0,-97.82542776,223,0.01656083,0.23164062,7.3591805,-0.023553766,-0.015880715,0.02507571,0.5505021214485168,65,133120,613.0621945530002,133120
1000.0,-89.99906789999999,224,0.01849192,0.2668457,7.2611723,-0.022155017,0.00054536026,0.02201989,0.6917678415775299,66,135168,622.2059137759934,135168
1000.0,-82.86416871,220,0.019605089,0.27148438,7.274428,-0.025226587,0.020371135,0.037405334,0.722956657409668,67,137216,631.4978418049868,137216
1000.0,-73.48896923000001,219,0.017754529,0.23793945,7.2036743,-0.025203954,0.002816373,0.020355929,0.006054878234863281,68,139264,640.8429880309995,139264
1000.0,-64.84615446999999,223,0.019767094,0.27207032,7.1518617,-0.0278252,-0.01030173,0.01556175,0.016616523265838623,69,141312,649.989959404993,141312
1000.0,-53.9188235,224,0.023430675,0.3040039,7.170327,-0.018007468,0.02499029,0.020137714,0.24709588289260864,70,143360,659.1147781170002,143360
1000.0,-45.787185259999994,223,0.01948082,0.2572754,7.0762777,-0.028527731,-0.009485249,0.018948155,0.29362958669662476,71,145408,668.274396074994,145408
1000.0,-33.22688083,224,0.021153692,0.2850586,7.0568686,-0.022126172,-0.00018621336,0.021627862,0.28809404373168945,72,147456,677.3863302319951,147456
1000.0,-20.94773142,221,0.01792775,0.25136718,6.984497,-0.023586264,-0.004085156,0.019906517,0.13149476051330566,73,149504,686.6262193959992,149504
1000.0,-9.846062359999998,224,0.020995067,0.2783203,6.9543104,-0.02324107,0.0012721419,0.019440599,0.2835327386856079,74,151552,695.7594785989932,151552
1000.0,-0.014770059999997897,223,0.02023768,0.2828125,6.9099784,-0.025583887,-0.034801025,0.016169617,0.7547588497400284,75,153600,704.910747018992,153600
1000.0,11.85279851,222,0.02028239,0.26757812,6.845627,-0.021302035,0.031837873,0.020087468,0.30566900968551636,76,155648,714.1219303839898,155648
1000.0,23.04267625,224,0.02001473,0.27304688,6.8914933,-0.018521626,-0.008826548,0.023423297,0.40335410833358765,77,157696,723.2658051029866,157696
1000.0,34.429971619999996,222,0.019683737,0.25073242,6.7985754,-0.015568945,-0.0035851994,0.025204882,0.37786179780960083,78,159744,732.4863544089894,159744
1000.0,46.80825162,223,0.020570815,0.26997072,6.774943,-0.021147257,0.0011655659,0.022813812,0.5560883581638336,79,161792,741.6382673069893,161792
1000.0,58.010324309999994,223,0.021551084,0.28896484,6.8020372,-0.0214523,-0.008404556,0.02114236,0.08042305707931519,80,163840,750.8070953709976,163840
1000.0,69.0890108,223,0.018695798,0.25844726,6.75707,-0.018590901,0.0059123663,0.026082162,0.47868818044662476,81,165888,759.9696119379951,165888
1000.0,83.06768801999999,224,0.016512934,0.22905274,6.723263,-0.023789652,0.013327315,0.020501178,0.11915445327758789,82,167936,769.0980887589976,167936
1000.0,94.05676274000001,222,0.021851787,0.29501954,6.715946,-0.02570062,0.0020592264,0.022150021,0.3411773443222046,83,169984,778.2942394290003,169984
1000.0,104.33463771999999,223,0.024562065,0.30024415,6.6549582,-0.017997842,-0.071980596,0.03180061,0.9186108633875847,84,172032,787.4694954419974,172032
1000.0,116.63587011,223,0.019027105,0.25795898,6.6537805,-0.021873042,0.01953286,0.022341259,0.1722971796989441,85,174080,796.6323564529885,174080
1000.0,129.8210751,222,0.021013059,0.27202147,6.636351,-0.014962588,-0.0028269482,0.02081172,0.1135672926902771,86,176128,805.8294281790004,176128
1000.0,143.65029276,224,0.020180153,0.27441406,6.59396,-0.022251578,-0.0027980828,0.022107955,0.11540693044662476,87,178176,814.9657854449906,178176
1000.0,157.18180139000003,223,0.022591699,0.28081053,6.589326,-0.023547973,-0.020385709,0.023751354,0.2862917184829712,88,180224,824.1296965009969,180224
1000.0,169.16920962,222,0.022394681,0.28076172,6.522882,-0.021208316,0.0020323363,0.020234574,0.2636955976486206,89,182272,833.3245533109875,182272
1000.0,181.69962876999998,224,0.023584817,0.30732423,6.510479,-0.025415808,-0.015449141,0.020919774,0.040596961975097656,90,184320,842.4605175909965,184320
1000.0,194.89869335999995,222,0.019640474,0.27124023,6.45363,-0.023291508,0.006643566,0.021460006,0.13194453716278076,91,186368,851.6714725549973,186368
